iter	Passed	Remaining
0	329	115018
1	520	90527
2	710	82178
3	949	82127
4	1141	78734
5	1334	76519
6	1534	75181
7	1718	73483
8	1910	72373
9	2093	71182
10	2279	70256
11	2491	70190
12	2694	69844
13	2863	68713
14	3062	68394
15	3219	67217
16	3405	66698
17	3574	65922
18	3785	65945
19	4001	66018
20	4179	65472
21	4350	64863
22	4499	63965
23	4667	63406
24	4870	63310
25	5056	63012
26	5241	62698
27	5436	62516
28	5633	62357
29	5869	62610
30	6058	62341
31	6239	62001
32	6457	62034
33	6658	61881
34	6856	61711
35	7019	61222
36	7167	60634
37	7324	60139
38	7465	59531
39	7626	59101
40	7775	58600
41	7933	58176
42	8071	57628
43	8232	57250
44	8362	56679
45	8506	56219
46	8636	55678
47	8768	55171
48	8922	54810
49	9099	54598
50	9227	54096
51	9334	53495
52	9435	52877
53	9554	52371
54	9694	51999
55	9834	51632
56	9967	51237
57	10100	50849
58	10260	50605
59	10398	50259
60	10559	50025
61	10710	49751
62	10856	49459
63	10996	49141
64	11158	48926
65	11296	48610
66	11449	48360
67	11595	48085
68	11733	47785
69	11871	47484
70	12022	47242
71	12181	47035
72	12357	46889
73	12500	46623
74	12647	46375
75	12797	46136
76	12944	45894
77	13095	45665
78	13246	45440
79	13405	45244
80	13562	45041
81	13716	44828
82	13871	44621
83	14026	44415
84	14182	44215
85	14342	44029
86	14513	43873
87	14669	43675
88	14824	43472
89	14963	43229
90	15134	43074
91	15291	42881
92	15470	42751
93	15677	42695
94	15888	42648
95	16103	42606
96	16310	42541
97	16495	42417
98	16664	42251
99	16833	42083
100	16994	41896
101	17171	41750
102	17356	41621
103	17522	41447
104	17691	41279
105	17863	41119
106	18030	40947
107	18180	40737
108	18337	40545
109	18537	40446
110	18735	40339
111	18898	40158
112	19039	39933
113	19199	39745
114	19364	39570
115	19526	39389
116	19696	39224
117	19858	39042
118	20019	38861
119	20168	38655
120	20328	38473
121	20482	38279
122	20636	38085
123	20799	37909
124	20961	37730
125	21115	37539
126	21263	37337
127	21408	37130
128	21568	36950
129	21736	36784
130	21899	36611
131	22046	36409
132	22216	36248
133	22366	36052
134	22528	35878
135	22683	35693
136	22860	35541
137	23015	35357
138	23173	35176
139	23353	35029
140	23528	34876
141	23695	34709
142	23834	34501
143	23983	34310
144	24139	34128
145	24269	33910
146	24405	33702
147	24537	33490
148	24679	33293
149	24807	33077
150	24954	32887
151	25106	32704
152	25257	32521
153	25404	32333
154	25565	32163
155	25731	31998
156	25878	31812
157	26039	31642
158	26181	31450
159	26343	31282
160	26496	31104
161	26639	30915
162	26773	30715
163	26920	30531
164	27118	30406
165	27291	30250
166	27463	30095
167	27601	29901
168	27768	29740
169	27951	29596
170	28140	29456
171	28314	29302
172	28494	29153
173	28667	28997
174	28832	28832
175	28999	28669
176	29162	28503
177	29333	28345
178	29512	28193
179	29662	28014
180	29834	27856
181	30001	27693
182	30154	27518
183	30321	27355
184	30484	27188
185	30675	27047
186	30864	26903
187	31030	26739
188	31181	26561
189	31321	26375
190	31469	26196
191	31632	26031
192	31772	25846
193	31917	25665
194	32055	25479
195	32191	25293
196	32335	25113
197	32501	24950
198	32672	24791
199	32847	24635
200	33042	24494
201	33237	24352
202	33428	24206
203	33583	24035
204	33735	23861
205	33920	23711
206	34075	23539
207	34231	23369
208	34420	23221
209	34616	23077
210	34826	22942
211	35009	22788
212	35215	22650
213	35375	22481
214	35541	22316
215	35734	22168
216	35873	21987
217	36019	21809
218	36147	21622
219	36276	21436
220	36411	21253
221	36560	21080
222	36707	20905
223	36859	20733
224	37000	20555
225	37135	20375
226	37267	20193
227	37400	20012
228	37533	19831
229	37669	19653
230	37804	19475
231	37935	19294
232	38066	19114
233	38204	18938
234	38335	18760
235	38467	18581
236	38598	18403
237	38732	18227
238	38866	18050
239	39003	17876
240	39136	17700
241	39274	17527
242	39403	17350
243	39540	17177
244	39674	17003
245	39807	16828
246	39943	16656
247	40079	16484
248	40227	16317
249	40368	16147
250	40505	15976
251	40641	15805
252	40774	15632
253	40908	15461
254	41044	15291
255	41177	15119
256	41310	14948
257	41439	14777
258	41573	14606
259	41707	14437
260	41841	14267
261	41975	14098
262	42110	13929
263	42258	13766
264	42393	13597
265	42533	13431
266	42666	13263
267	42806	13097
268	42943	12930
269	43078	12763
270	43208	12595
271	43341	12428
272	43477	12262
273	43617	12098
274	43751	11932
275	43898	11770
276	44046	11607
277	44205	11448
278	44353	11287
279	44512	11128
280	44729	10983
281	44900	10827
282	45076	10671
283	45298	10527
284	45470	10370
285	45637	10212
286	45797	10053
287	45938	9889
288	46079	9726
289	46236	9566
290	46376	9402
291	46509	9238
292	46652	9075
293	46785	8911
294	46913	8746
295	47044	8582
296	47186	8420
297	47318	8256
298	47480	8098
299	47674	7945
300	47819	7784
301	47946	7620
302	48081	7458
303	48221	7296
304	48353	7134
305	48487	6972
306	48627	6811
307	48766	6649
308	48898	6488
309	49037	6327
310	49194	6169
311	49368	6012
312	49511	5852
313	49651	5692
314	49783	5531
315	49933	5372
316	50079	5213
317	50226	5054
318	50359	4893
319	50510	4735
320	50645	4575
321	50778	4415
322	50915	4256
323	51062	4097
324	51207	3939
325	51354	3780
326	51527	3624
327	51685	3466
328	51827	3308
329	51976	3150
330	52124	2992
331	52276	2834
332	52432	2676
333	52574	2518
334	52714	2360
335	52843	2201
336	52981	2043
337	53116	1885
338	53256	1728
339	53399	1570
340	53560	1413
341	53701	1256
342	53836	1098
343	53978	941
344	54122	784
345	54271	627
346	54421	470
347	54581	313
348	54721	156
349	54860	0
