iter	Passed	Remaining
0	230	80533
1	318	55420
2	406	46987
3	493	42724
4	582	40179
5	671	38494
6	761	37299
7	853	36497
8	943	35760
9	1050	35714
10	1145	35290
11	1232	34721
12	1320	34223
13	1408	33815
14	1501	33536
15	1594	33284
16	1702	33358
17	1807	33341
18	1891	32950
19	1987	32790
20	2078	32557
21	2166	32297
22	2256	32079
23	2345	31865
24	2433	31631
25	2520	31413
26	2610	31223
27	2697	31021
28	2785	30832
29	2868	30597
30	2955	30417
31	3045	30264
32	3133	30099
33	3218	29915
34	3305	29746
35	3392	29593
36	3482	29462
37	3569	29303
38	3655	29152
39	3748	29047
40	3834	28896
41	3923	28771
42	4015	28669
43	4107	28568
44	4194	28426
45	4280	28289
46	4363	28131
47	4449	27996
48	4537	27876
49	4624	27744
50	4713	27633
51	4802	27519
52	4887	27390
53	4976	27276
54	5065	27167
55	5151	27045
56	5237	26920
57	5322	26797
58	5413	26699
59	5498	26577
60	5583	26454
61	5672	26351
62	5763	26255
63	5850	26145
64	5941	26049
65	6031	25953
66	6119	25849
67	6207	25741
68	6296	25643
69	6386	25546
70	6474	25441
71	6560	25332
72	6647	25223
73	6733	25113
74	6820	25007
75	6905	24896
76	6999	24817
77	7088	24717
78	7176	24617
79	7260	24503
80	7348	24404
81	7433	24295
82	7520	24194
83	7608	24093
84	7696	23995
85	7782	23890
86	7868	23786
87	7958	23694
88	8047	23601
89	8133	23496
90	8221	23398
91	8310	23305
92	8400	23213
93	8487	23113
94	8575	23018
95	8663	22921
96	8748	22818
97	8838	22728
98	8927	22633
99	9019	22549
100	9109	22458
101	9197	22363
102	9284	22263
103	9374	22173
104	9459	22071
105	9547	21977
106	9634	21880
107	9723	21786
108	9812	21695
109	9899	21597
110	9984	21498
111	10074	21408
112	10157	21304
113	10240	21199
114	10330	21109
115	10414	21008
116	10494	20899
117	10579	20800
118	10669	20710
119	10749	20603
120	10837	20509
121	10920	20407
122	11008	20316
123	11092	20217
124	11179	20122
125	11261	20020
126	11343	19918
127	11432	19827
128	11515	19727
129	11599	19629
130	11684	19533
131	11769	19437
132	11852	19338
133	11938	19244
134	12024	19150
135	12111	19057
136	12197	18963
137	12279	18864
138	12371	18780
139	12456	18684
140	12541	18590
141	12627	18496
142	12709	18397
143	12795	18305
144	12882	18213
145	12965	18115
146	13050	18022
147	13137	17930
148	13222	17837
149	13303	17738
150	13389	17646
151	13474	17551
152	13556	17454
153	13639	17358
154	13726	17268
155	13808	17172
156	13895	17081
157	13979	16987
158	14065	16896
159	14153	16806
160	14239	16716
161	14327	16626
162	14414	16536
163	14498	16443
164	14580	16348
165	14661	16251
166	14747	16160
167	14835	16071
168	14921	15981
169	15011	15894
170	15102	15808
171	15192	15722
172	15283	15636
173	15372	15549
174	15456	15456
175	15537	15361
176	15625	15272
177	15711	15181
178	15798	15091
179	15883	15001
180	15968	14910
181	16055	14820
182	16139	14728
183	16223	14636
184	16307	14544
185	16390	14451
186	16474	14359
187	16555	14266
188	16643	14177
189	16728	14087
190	16813	13996
191	16899	13907
192	16989	13820
193	17074	13730
194	17163	13643
195	17246	13551
196	17333	13462
197	17417	13371
198	17498	13278
199	17587	13190
200	17673	13100
201	17756	13009
202	17839	12918
203	17927	12830
204	18012	12740
205	18098	12651
206	18182	12561
207	18268	12472
208	18353	12382
209	18440	12293
210	18523	12202
211	18610	12114
212	18695	12024
213	18782	11936
214	18866	11846
215	18953	11758
216	19039	11669
217	19129	11582
218	19216	11494
219	19309	11410
220	19393	11320
221	19476	11229
222	19573	11147
223	19709	11086
224	19826	11014
225	19946	10944
226	20057	10868
227	20165	10790
228	20274	10712
229	20382	10634
230	20491	10556
231	20575	10465
232	20663	10375
233	20753	10288
234	20855	10205
235	20999	10143
236	21118	10069
237	21210	9981
238	21307	9895
239	21414	9814
240	21547	9745
241	21674	9672
242	21758	9580
243	21853	9493
244	21978	9419
245	22104	9344
246	22212	9262
247	22300	9171
248	22399	9085
249	22528	9011
250	22661	8938
251	22798	8866
252	22919	8787
253	23038	8707
254	23160	8628
255	23323	8564
256	23455	8487
257	23580	8408
258	23689	8323
259	23814	8243
260	23940	8163
261	24071	8085
262	24206	8007
263	24346	7931
264	24477	7851
265	24597	7767
266	24724	7685
267	24855	7604
268	24978	7521
269	25103	7438
270	25218	7351
271	25308	7257
272	25404	7165
273	25493	7071
274	25584	6977
275	25673	6883
276	25763	6789
277	25855	6696
278	25942	6601
279	26032	6508
280	26120	6413
281	26205	6319
282	26291	6224
283	26381	6130
284	26468	6036
285	26555	5942
286	26642	5848
287	26729	5754
288	26814	5659
289	26907	5567
290	26993	5473
291	27080	5378
292	27170	5285
293	27261	5192
294	27351	5099
295	27438	5005
296	27528	4912
297	27613	4818
298	27700	4724
299	27790	4631
300	27879	4538
301	27970	4445
302	28058	4352
303	28149	4259
304	28236	4166
305	28326	4073
306	28412	3979
307	28497	3886
308	28587	3793
309	28674	3699
310	28764	3607
311	28853	3514
312	28939	3420
313	29029	3328
314	29114	3234
315	29204	3142
316	29293	3049
317	29380	2956
318	29469	2863
319	29559	2771
320	29646	2678
321	29734	2585
322	29822	2492
323	29907	2399
324	30001	2307
325	30096	2215
326	30184	2123
327	30273	2030
328	30363	1938
329	30450	1845
330	30539	1753
331	30629	1660
332	30718	1568
333	30810	1475
334	30899	1383
335	30989	1291
336	31074	1198
337	31163	1106
338	31255	1014
339	31342	921
340	31433	829
341	31522	737
342	31606	645
343	31694	552
344	31784	460
345	31875	368
346	31962	276
347	32050	184
348	32141	92
349	32231	0
