iter	RMSE
0	1785872.346
1	1751630.513
2	1717421.667
3	1684723.429
4	1651786.9
5	1613105.009
6	1583053.017
7	1553958.551
8	1532933.994
9	1504463.829
10	1477132.15
11	1450377.67
12	1430954.802
13	1405416.938
14	1387060.877
15	1362719.284
16	1344840.269
17	1327281.295
18	1298178.071
19	1281745.828
20	1265439.934
21	1244114.338
22	1217985.673
23	1202844.064
24	1183031.891
25	1168660.613
26	1144698.478
27	1126301.922
28	1108342.454
29	1095037.039
30	1078060.676
31	1065560.365
32	1053278.966
33	1040884.78
34	1028881.112
35	1016731.078
36	1004895.398
37	989657.037
38	978473.4284
39	967715.4136
40	957131.6238
41	946859.6849
42	933561.4676
43	923823.5491
44	912366.9941
45	902752.711
46	886877.3412
47	874731.4169
48	865923.0506
49	857242.5787
50	848816.8006
51	837523.1975
52	829082.767
53	821176.7499
54	808372.1385
55	801090.0388
56	790359.546
57	783374.7162
58	776576.532
59	769620.7942
60	762592.8682
61	756176.7399
62	747126.9309
63	740786.4478
64	734618.1828
65	728579.6342
66	720921.3285
67	712916.0428
68	706988.1658
69	701485.651
70	695807.6375
71	690729.4684
72	685352.4853
73	680121.5629
74	675109.3787
75	670294.2092
76	665259.5331
77	660753.8367
78	655877.0454
79	651571.3042
80	647596.4726
81	643032.8838
82	638556.3881
83	634627.1924
84	630379.3509
85	626207.0536
86	622489.7456
87	618875.0859
88	615308.1271
89	609702.7068
90	606366.2602
91	602978.4034
92	597179.4547
93	592416.5198
94	587554.3959
95	584554.9313
96	581531.6694
97	578620.7175
98	575655.8066
99	573007.4799
100	570113.2687
101	567162.3701
102	563783.0511
103	558473.7704
104	555740.4283
105	553113.6715
106	550687.8526
107	548593.2227
108	546261.2665
109	544100.3285
110	541864.567
111	537096.5404
112	534833.8874
113	532602.8074
114	529739.3123
115	527881.1943
116	523798.9896
117	521867.9488
118	519947.7606
119	517121.7513
120	515535.411
121	513057.0521
122	511637.3138
123	510078.6004
124	506749.009
125	503166.2722
126	499488.3433
127	496164.0542
128	493266.7118
129	491130.1277
130	487690.2901
131	484023.2917
132	481024.0543
133	478048.4195
134	476773.3625
135	473831.7856
136	470174.1084
137	467597.677
138	465685.8058
139	463644.0897
140	460914.7189
141	458597.3973
142	456461.6488
143	454196.0105
144	453148.1732
145	450937.5085
146	449040.7576
147	446714.9972
148	445083.6402
149	444493.347
150	442891.4654
151	442213.0466
152	441048.5183
153	438476.4189
154	437480.002
155	436723.7629
156	434406.5442
157	432830.6423
158	430827.3008
159	428848.0523
160	426767.9632
161	424736.7425
162	423163.4239
163	422732.9036
164	422520.7863
165	421868.6925
166	420789.1007
167	420066.6195
168	417951.5284
169	416136.83
170	414634.6985
171	414382.712
172	413604.6335
173	412257.695
174	410707.7979
175	408697.8555
176	406433.9395
177	404554.4383
178	403610.747
179	401922.5974
180	401211.9195
181	399381.7271
182	398587.7837
183	397169.5977
184	395993.0712
185	394827.0553
186	394062.8322
187	393339.7333
188	391778.2289
189	390443.9879
190	389119.0229
191	388260.2038
192	386663.3006
193	385323.1416
194	384844.7922
195	384296.1821
196	383043.3173
197	382478.4982
198	381467.67
199	380140.9019
200	379184.9127
201	378669.8078
202	377388.0123
203	376455.0387
204	375931.4375
205	374605.7122
206	373575.7662
207	372469.0258
208	371607.833
209	370649.8547
210	369438.3195
211	368745.7639
212	368206.397
213	367122.6062
214	367054.34
215	365924.8285
216	365207.4997
217	364676.6429
218	363750.0132
219	363432.8575
220	363304.893
221	362194.2501
222	361892.7249
223	361503.2038
224	360742.7347
225	360459.8267
226	359535.4808
227	358227.8708
228	358156.1111
229	357891.9917
230	357823.3393
231	356882.5224
232	356287.1181
233	356041.7532
234	355986.6428
235	354686.7763
236	354453.4187
237	353268.8712
238	353211.7955
239	352234.4797
240	351051.5298
241	350297.2308
242	350029.2967
243	349751.3989
244	348616.7073
245	348403.661
246	348356.7413
247	348153.2642
248	347281.4466
249	347233.2475
250	347144.6531
251	346597.3849
252	346512.8127
253	346472.244
254	346218.2653
255	346180.0328
256	345586.8936
257	345265.4006
258	345088.4524
259	344544.8733
260	343852.5137
261	343813.472
262	342963.8027
263	342389.937
264	342352.0753
265	341598.9964
266	341436.1927
267	340546.7567
268	340514.2396
269	339751.494
270	339597.1337
271	338666.7677
272	338467.345
273	337826.5567
274	337066.9233
275	336841.1891
276	336236.5492
277	335607.2116
278	335394.1105
279	335362.9454
