iter	Passed	Remaining
0	38	10618
1	74	10332
2	108	10024
3	146	10112
4	184	10137
5	220	10060
6	256	9986
7	294	10001
8	329	9924
9	366	9887
10	401	9828
11	438	9800
12	477	9806
13	514	9774
14	550	9731
15	585	9663
16	621	9619
17	657	9575
18	694	9545
19	730	9496
20	766	9450
21	801	9400
22	837	9357
23	874	9323
24	909	9275
25	944	9224
26	981	9192
27	1026	9238
28	1068	9245
29	1113	9276
30	1150	9240
31	1185	9189
32	1221	9146
33	1257	9100
34	1293	9054
35	1330	9017
36	1365	8967
37	1400	8916
38	1434	8865
39	1471	8826
40	1507	8788
41	1543	8747
42	1580	8710
43	1616	8669
44	1651	8622
45	1687	8582
46	1722	8540
47	1758	8498
48	1795	8464
49	1830	8420
50	1868	8387
51	1903	8344
52	1941	8313
53	1975	8267
54	2014	8240
55	2048	8195
56	2085	8159
57	2122	8123
58	2157	8083
59	2194	8046
60	2229	8005
61	2265	7964
62	2301	7926
63	2336	7885
64	2370	7842
65	2406	7803
66	2442	7766
67	2479	7729
68	2516	7695
69	2552	7656
70	2589	7622
71	2626	7589
72	2664	7555
73	2700	7517
74	2735	7476
75	2771	7440
76	2808	7403
77	2843	7364
78	2882	7333
79	2917	7294
80	2957	7265
81	2992	7224
82	3028	7188
83	3065	7151
84	3101	7114
85	3137	7077
86	3172	7037
87	3209	7001
88	3243	6961
89	3280	6924
90	3315	6885
91	3355	6856
92	3391	6818
93	3429	6785
94	3465	6747
95	3502	6713
96	3538	6675
97	3574	6638
98	3609	6599
99	3645	6561
100	3681	6525
101	3717	6487
102	3753	6449
103	3789	6412
104	3824	6373
105	3861	6338
106	3898	6302
107	3933	6264
108	3969	6226
109	4005	6189
110	4039	6150
111	4079	6118
112	4115	6082
113	4150	6044
114	4188	6008
115	4223	5971
116	4261	5936
117	4297	5900
118	4334	5863
119	4370	5827
120	4406	5790
121	4443	5754
122	4479	5717
123	4513	5678
124	4549	5641
125	4588	5608
126	4624	5570
127	4661	5535
128	4697	5499
129	4734	5463
130	4770	5426
131	4808	5391
132	4842	5352
133	4879	5316
134	4915	5280
135	4953	5245
136	4989	5207
137	5025	5171
138	5060	5132
139	5096	5096
140	5133	5060
141	5169	5024
142	5206	4987
143	5241	4950
144	5277	4913
145	5315	4878
146	5349	4840
147	5386	4803
148	5423	4768
149	5442	4717
150	5480	4681
151	5516	4645
152	5552	4609
153	5589	4573
154	5627	4538
155	5662	4500
156	5698	4464
157	5735	4428
158	5773	4393
159	5808	4356
160	5846	4321
161	5883	4285
162	5920	4249
163	5955	4212
164	5989	4174
165	6024	4137
166	6060	4100
167	6097	4064
168	6132	4027
169	6168	3991
170	6202	3953
171	6238	3917
172	6274	3880
173	6309	3843
174	6345	3807
175	6381	3770
176	6418	3734
177	6452	3697
178	6489	3661
179	6524	3624
180	6560	3588
181	6599	3553
182	6635	3517
183	6674	3482
184	6714	3447
185	6754	3413
186	6790	3377
187	6828	3341
188	6865	3305
189	6903	3270
190	6942	3235
191	6980	3199
192	7020	3164
193	7058	3128
194	7096	3093
195	7133	3057
196	7171	3021
197	7206	2984
198	7243	2948
199	7280	2912
200	7317	2875
201	7353	2839
202	7389	2802
203	7424	2766
204	7460	2729
205	7499	2693
206	7534	2657
207	7569	2620
208	7608	2584
209	7644	2548
210	7678	2510
211	7715	2474
212	7750	2438
213	7787	2401
214	7823	2365
215	7860	2328
216	7894	2292
217	7930	2255
218	7968	2219
219	8003	2182
220	8039	2146
221	8075	2109
222	8111	2073
223	8148	2037
224	8185	2000
225	8219	1963
226	8257	1927
227	8293	1891
228	8329	1855
229	8366	1818
230	8400	1781
231	8435	1745
232	8471	1708
233	8508	1672
234	8516	1630
235	8551	1594
236	8588	1558
237	8625	1522
238	8664	1486
239	8700	1450
240	8736	1413
241	8772	1377
242	8811	1341
243	8848	1305
244	8885	1269
245	8919	1232
246	8926	1192
247	8963	1156
248	8999	1120
249	9034	1084
250	9053	1046
251	9088	1009
252	9108	972
253	9117	933
254	9152	897
255	9160	858
256	9195	822
257	9232	787
258	9267	751
259	9302	715
260	9337	679
261	9373	644
262	9408	608
263	9444	572
264	9479	536
265	9516	500
266	9552	465
267	9586	429
268	9594	392
269	9630	356
270	9667	321
271	9704	285
272	9739	249
273	9777	214
274	9812	178
275	9849	142
276	9886	107
277	9921	71
278	9956	35
279	9992	0
