steam_appid,name,metacritic,steam_achievements,steam_trading_cards,workshop_support,genres,achievements_total,release_date,supported_platforms
1318940,Forkdrift,,False,False,False,"Action, Free To Play, Indie, Racing",,"Jul 30, 2020","['windows', 'mac', 'linux']"
1314980,Mealmates,,True,False,False,"Action, Adventure, Casual, Indie, Sports",13.0,"Aug 10, 2020","['windows', 'mac']"
1315210,Ikai,,True,False,False,"Adventure, Indie",20.0,"Mar 29, 2022",['windows']
1315270,PEE WAR！,,True,False,False,"Action, Casual, Indie, Simulation",12.0,"Aug 3, 2020",['windows']
1912700,3D PUZZLE - Wood House,,True,False,False,"Action, Adventure, Casual, Indie, Simulation",6.0,"Mar 4, 2022","['windows', 'mac', 'linux']"
1912140,The Dreamland,,False,False,False,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access",,"Jan 10, 2023",['windows']
1911120,Hot Work VR Training,,False,False,False,Simulation,,"Mar 17, 2022",['windows']
1910860,Grimlord,,False,False,False,"Action, Adventure, Indie, RPG, Simulation",,"Dec 19, 2024",['windows']
1910210,Work At Height VR Training,,False,False,False,Simulation,,"Mar 20, 2022",['windows']
1910260,Geballer,,True,False,False,Casual,20.0,"Jun 10, 2022",['windows']
1909650,Ring War,,True,False,False,"Action, Casual, Free To Play, Indie, Early Access",50.0,"Jul 11, 2022",['windows']
1909670,Tegridy Puzzles,,True,False,False,"Casual, Indie, Strategy",76.0,"Mar 15, 2022",['windows']
1909800,UuultraC,,False,False,False,"Adventure, Casual, Indie",,"Mar 24, 2022",['windows']
1909850,Ethereal Rift,,False,False,False,"Action, Indie, RPG, Free To Play",,"Jun 9, 2023",['windows']
1909040,Corn Defenders,,False,False,False,"Action, Adventure, Casual, Free To Play, Indie",,"Apr 13, 2022",['windows']
1908570,LAMBDA end THEORY,,True,False,False,"Indie, RPG",16.0,"Mar 8, 2022",['windows']
1908600,Block Dropper,,False,False,False,"Casual, Indie, Early Access",0.0,"Mar 2, 2022",['windows']
1908640,NeonHAT,,True,False,False,"Action, Indie, Racing",25.0,"Mar 3, 2022",['windows']
1908770,Akolyta,,False,False,True,"Action, Adventure, Indie, RPG, Early Access",,"Nov 11, 2024",['windows']
1907800,Sokobear: Spring,,True,False,False,"Casual, Indie",40.0,"Nov 18, 2022",['windows']
1907900,Halftime Heroes,,True,False,False,"Action, Adventure, RPG",15.0,"May 11, 2023","['windows', 'linux']"
1907150,Barbarous 2 - Tavern Wars,,True,False,False,"Adventure, Casual, Strategy",57.0,"Mar 28, 2022","['windows', 'mac']"
1907400,Captain Gazman Day Of The Rage,93.0,True,False,False,"Action, Adventure, Indie, Racing, Simulation",50.0,"Dec 25, 2024","['windows', 'mac', 'linux']"
1906750,Roly Poly,,True,False,False,"Adventure, Indie, RPG, Simulation",18.0,"Apr 19, 2022",['windows']
1906890,Jump Like An Egyptian,,False,False,False,"Adventure, Casual, Indie, Racing, Sports",,"Feb 25, 2022",['windows']
1906150,Pixel Trouble,,False,False,False,Indie,,"Mar 2, 2022",['windows']
1906160,Sprout Lands,,True,False,False,Indie,4.0,"Mar 18, 2022",['windows']
1906320,Arena Drift Master,,False,False,False,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports",,"Mar 9, 2022",['windows']
1905700,A Series of Temporal Mishaps,,True,False,False,"Adventure, Casual, Free To Play, Indie",9.0,"Mar 30, 2022",['windows']
1905530,Hammerwatch Anniversary Edition,,True,False,True,"Action, Adventure, Indie, RPG",42.0,"Aug 15, 2023",['windows']
1904810,Law of the Sword,,True,False,False,"Action, Early Access",,Q1 2025,['windows']
1904050,Comrade Quack,,False,False,False,Early Access,,"Apr 12, 2022",['windows']
1904280,Feartress,,False,False,False,"Casual, Indie, RPG, Strategy, Early Access",63.0,"Jun 28, 2022","['windows', 'mac', 'linux']"
1903530,Heart attack,,True,False,False,"Action, Adventure",3.0,"Jan 17, 2023",['windows']
1902180,Plebs,,False,False,False,"Casual, Indie, Strategy, Early Access",,"Sep 1, 2023",['windows']
1902280,TruXposure VR,,False,False,False,Simulation,,"Mar 8, 2023",['windows']
1901580,Fireworks Show VR,,True,False,False,"Casual, Indie, Simulation, Early Access",16.0,"Feb 22, 2022",['windows']
1901130,A Difficult Game About ROLLING - ReUpRise,,True,False,False,"Action, Indie",60.0,"May 12, 2024",['windows']
1901180,Aster Force,,True,False,False,"Action, Casual, Indie",12.0,"Apr 3, 2022",['windows']
1901260,Lucky Gem,,False,False,False,"Casual, Indie, RPG, Strategy",16.0,"Apr 12, 2022",['windows']
1901340,Ero Manager,,True,False,False,,15.0,"Mar 11, 2022",['windows']
1900130,Late photographer 2 free,,False,False,False,"Casual, Free To Play",8.0,"Feb 23, 2022",['windows']
1900300,The Bad Son,,True,False,False,Action,40.0,"Oct 26, 2022",['windows']
1899700,Graphwar,,False,False,False,"Casual, Indie, Free To Play",,"Feb 23, 2022","['windows', 'mac', 'linux']"
1899160,Puzzle Mix,,True,False,False,"Adventure, Indie",9.0,"Feb 21, 2022",['windows']
1899200,Bombardier,,False,False,False,"Action, Casual, Indie",,"Sep 30, 2023",['windows']
1898500,Worldless,85.0,True,False,False,"Action, Adventure, RPG, Strategy",24.0,"Nov 20, 2023",['windows']
1898790,A Crown of Sorcery and Steel,,True,False,False,"Adventure, Casual, Indie, RPG",70.0,"Oct 27, 2022","['windows', 'mac', 'linux']"
1897480,Devil's Island,,False,False,False,"Action, Adventure, Indie, Simulation",,"Aug 24, 2023",['windows']
1897720,Sex Adventures - The SPA,,False,False,False,"Casual, Indie",,"Feb 21, 2022",['windows']
1897740,Chrono Survival,,True,False,False,Action,84.0,"Dec 9, 2022",['windows']
1897830,Sex Diary - Double Trouble Teacher,,False,False,False,"Casual, Indie",,"Feb 22, 2022",['windows']
1897400,Master Show VR,,False,False,False,"Casual, Indie, Simulation",,"Mar 3, 2022",['windows']
1896530,Foreign Dreams,,False,False,False,"Adventure, Casual",,"Feb 22, 2022",['windows']
1896610,Edge of Reality: Lost Secrets of the Forest Collector's Edition,,False,False,False,"Adventure, Casual",,"Feb 8, 2022",['windows']
1896900,Rail Route: The Story of Jozic,,True,False,False,"Casual, Indie, Simulation",13.0,"Jun 21, 2022","['windows', 'mac', 'linux']"
1896930,Elephant's Graveyard,,False,False,False,"Action, Casual, Indie",,"May 6, 2022",['windows']
1895860,Monster Girls and the Mysterious Adventure 2,,True,False,False,"Indie, RPG, Simulation, Strategy",58.0,"Aug 26, 2022",['windows']
1896020,Running in the Y2K,,True,False,False,Adventure,12.0,"May 10, 2022",['windows']
1896090,The Claws of Blood,,False,False,False,"Indie, RPG",,"Sep 15, 2022",['windows']
1895270,TRICK SHOT,,False,False,False,"Casual, Simulation, Sports",,"Mar 23, 2022",['windows']
1895330,Baller Blast,,True,False,False,"Casual, Indie, Strategy",42.0,"Apr 21, 2022",['windows']
1895410,Desktop Mars,,False,False,False,"Casual, Indie, Simulation, Strategy",7.0,"Jul 29, 2022",['windows']
1895550,1001 Jigsaw Detective 2,,False,False,False,Casual,,"Jun 13, 2022",['windows']
1893770,Quickflash - A Fabula Story,,False,False,False,"Adventure, RPG",,"Mar 9, 2022",['windows']
1893880,Wormhole,,False,False,False,"Adventure, Indie",16.0,"Mar 30, 2022",['windows']
1893180,SKY JUMP,,False,False,False,"Adventure, Indie",,"Mar 15, 2022",['windows']
